Name,lat,lon
Zimmersheim,47.72079,7.38847
Yport,49.73716,0.31537
Yenne,45.7042,5.75795
Wizernes,50.7117,2.24316
Vinneuf,48.34795,3.14013
Villeurbanne,45.76601,4.8795
Villemoisson-sur-Orge,48.66632,2.33657
Villelaure,43.71075,5.43422
Villefranche-sur-Mer,43.70392,7.31088
Villeblevin,48.32446,3.08038
Villars,45.46785,4.35539
Ver-sur-Mer,49.32987,-0.53118
Verny,49.00677,6.2035
Verniolle,43.08175,1.64803
Venansault,46.68614,-1.51386
Vaudry,48.8413,-0.85309
Uxegney,48.19652,6.36971
Usson-du-Poitou,46.27803,0.52773
Urrugne,43.36243,-1.70019
Tréméven,47.89818,-3.53208
Toury,48.19397,1.93484
Tonnay-Charente,45.94395,-0.89193
Tocane-Saint-Apre,45.25354,0.49369
Thourotte,49.47591,2.8821
Thiviers,45.41763,0.92143
Téteghem,51.01859,2.44454
Tessy-sur-Vire,48.97381,-1.06087
Taradeau,43.45444,6.42729
Sussargues,43.7125,4.0031
Surgères,46.10809,-0.7514
Soultz-Haut-Rhin,47.88849,7.2286
Songeons,49.54916,1.85361
Sin-le-Noble,50.36159,3.13113
Sillé-le-Guillaume,48.18324,-0.12891
Signy-le-Petit,49.90277,4.2799
Sierck-les-Bains,49.43942,6.35816
Semoy,47.93333,1.95
Sémalens,43.5914,2.11002
Savy-Berlette,50.35249,2.56456
Sauvian,43.29308,3.2576
Satillieu,45.15041,4.6141
Sartrouville,48.9482,2.19169
Sallebœuf,44.83333,-0.4
Saint-Vincent-de-Tyrosse,43.66071,-1.30428
Saint-Varent,46.88955,-0.23243
Saint-Thibault-des-Vignes,48.87111,2.68041
Saint-Sever-Calvados,48.84035,-1.04773
Saints,48.76066,3.04645
Saint-Romain-sur-Cher,47.31877,1.39956
Saint-Rémy-sur-Durolle,45.88815,3.59257
Saint-Pryvé-Saint-Mesmin,47.88177,1.8695
Saint-Nicolas-de-Redon,47.64408,-2.06637
Saint-Nazaire-d'Aude,43.24451,2.89441
Saint-Menet,43.28997,5.50427
Saint-Maurice-la-Souterraine,46.21406,1.42995
Saint-Martin-en-Bresse,46.81725,5.06027
Saint-Loubès,44.91716,-0.42859
Saint-Just-Malmont,45.33932,4.31275
Saint-Jérôme,43.33404,5.41733
Saint-Jean-de-Moirans,45.34506,5.58536
Saint-Jacut-les-Pins,47.68543,-2.21473
Saint-Hélen,48.47084,-1.95943
Saint-Gildas-des-Bois,47.51622,-2.03659
Saint-Féliu-d'Avall,42.68168,2.73814
Sainte-Gemme-la-Plaine,46.48372,-1.1122
Saint-Denis-en-Val,47.87321,1.96601
Saint-Cosme-en-Vairais,48.27415,0.45983
Saint-Calais,47.92017,0.7438
Saint-Aubert,50.20805,3.41727
Sains-en-Amiénois,49.81716,2.31862
Sahurs,49.35863,0.94256
Rumegies,50.48877,3.35131
Roye,47.66995,6.54139
Roissy-en-Brie,48.79159,2.64747
Roches-Prémarie-Andillé,46.48451,0.36979
Richemont,49.27723,6.16372
Rians,43.60691,5.75696
Reventin-Vaugris,45.46638,4.84244
Rémelfing,49.08947,7.0882
Quiberon,47.48368,-3.11986
Quevauvillers,49.82376,2.08431
Quettehou,49.59308,-1.30352
Querrien,47.9595,-3.53705
Preignac,44.58489,-0.29522
Port-Sainte-Foy-et-Ponchapt,44.84428,0.2096
Port à Binson,49.08202,3.75989
Pont-Audemer,49.35,0.51667
Pons,45.58015,-0.54813
Pollestres,42.63799,2.86736
Pluzunet,48.64097,-3.37046
Pluguffan,47.98044,-4.17873
Plounévézel,48.29422,-3.59399
Plounéventer,48.51392,-4.21264
Plomodiern,48.18119,-4.23238
Pleumeleuc,48.18449,-1.91922
Pleumartin,46.73754,0.76592
Piégut-Pluviers,45.62288,0.68955
Péaule,47.58099,-2.35652
Pavie,43.61011,0.58871
Paris,48.85341,2.3488
Paradou,43.71699,4.78604
Ouveillan,43.28858,2.97029
Orthez,43.48834,-0.77266
Ormoy,48.57489,2.45206
Orleix,43.27945,0.12043
Offranville,49.87208,1.04817
Nostang,47.74986,-3.18749
Noisiel,48.84868,2.62435
Nogent-le-Rotrou,48.32157,0.82177
Nogentel,49.0175,3.4025
Niderviller,48.71294,7.10627
Neuilly-sur-Seine,48.8846,2.26965
Néoules,43.30844,6.00798
Munchhouse,47.8693,7.45233
Morschwiller-le-Bas,47.73615,7.26954
Morienval,49.2977,2.92078
Mont-Saint-Éloi,50.35105,2.69249
Montigny-lès-Metz,49.0956,6.15271
Mont-de-Marsan,43.89022,-0.49713
Molinet,46.46576,3.93589
Molières-sur-Cèze,44.25995,4.15855
Moirans-en-Montagne,46.43381,5.72643
Mirecourt,48.30089,6.13282
Mimbaste,43.64887,-0.97383
Mézières-en-Drouais,48.72413,1.4244
Mexy,49.50072,5.78078
Meximieux,45.90823,5.1992
Messeix,45.61702,2.54157
Merville,43.72354,1.29656
